[SPRITES]
#ID	Left	Top	Right	Bottom	ID_TEXTURE
#IDLE					
100010101	15	27	66	72	10001
100010102	82	27	132	72	10001
100010103	147	27	197	72	10001
100010104	211	28	263	72	10001
100010105	279	28	332	72	10001
100010106	347	28	400	72	10001
100010107	415	27	465	71	10001
					
#WALKING					
100010201	15	90	66	134	10001
100010202	82	90	130	135	10001
100010203	150	90	199	135	10001
100010204	210	91	259	135	10001
100010205	275	91	323	135	10001
100010206	349	91	400	135	10001
100010207	415	91	465	135	10001
					
#JUMP					
100010301	19	156	73	208	10001
100010302	84	156	138	208	10001
					
#TURNING					
100010401	26	231	74	275	10001
100010402	86	230	140	275	10001
					
#ATTACK NEAR					
100010501	23	295	71	339	10001
100010502	87	295	132	339	10001
100010503	148	287	188	339	10001
100010504	204	289	247	339	10001
100010505	253	293	307	339	10001
100010506	317	295	379	339	10001
100010507	394	295	469	339	10001
100010508	480	294	555	339	10001
100010509	567	295	631	339	10001
100010510	17	354	76	398	10001
100010511	82	353	136	398	10001
100010512	146	353	200	398	10001
100010513	208	354	259	398	10001
					
#ATTACK_FAR					
100010601	18	414	70	458	10001
100010602	83	414	135	458	10001
100010603	147	415	200	458	10001
100010604	212	416	267	458	10001
100010605	289	416	345	459	10001
100010606	355	414	412	458	10001
100010607	425	413	482	458	10001
100010608	495	413	549	458	10001
100010609	564	414	617	458	10001
100010610	16	477	72	523	10001
100010611	87	478	140	523	10001
100010612	148	477	202	523	10001
100010613	217	478	272	523	10001
					
#EATING					
100010701	21	545	72	590	10001
100010702	92	546	144	590	10001
100010703	161	548	219	590	10001
100010704	242	548	303	590	10001
100010705	22	601	82	643	10001
100010706	95	601	154	643	10001
100010707	169	601	226	643	10001
100010708	21	650	81	693	10001
100010709	101	650	160	693	10001
100010710	170	650	229	693	10001
100010711	241	650	300	694	10001
100010712	311	651	370	694	10001
100010713	379	651	439	694	10001
100010714	21	700	79	744	10001
100010715	101	700	156	743	10001
100010716	170	699	221	743	10001
100010717	241	699	292	742	10001
100010718	315	699	370	742	10001
100010719	380	700	439	742	10001
100010720	26	759	81	804	10001
100010721	94	759	149	804	10001
100010722	162	759	217	804	10001
100010723	230	759	285	804	10001
100010724	298	759	354	804	10001
100010725	363	759	418	804	10001
100010726	23	817	78	862	10001
100010727	91	818	149	862	10001
					
#DEATH1					
100010801	27	892	81	936	10001
100010802	94	893	146	936	10001
100010803	161	894	214	936	10001
100010804	232	892	288	936	10001
100010805	306	887	369	936	10001
100010806	383	884	449	936	10001
100010807	471	884	536	936	10001
100010808	29	950	99	1006	10001
100010809	110	949	183	1006	10001
100010810	196	963	260	1006	10001
100010811	272	955	340	1006	10001
100010812	354	954	422	1006	10001
100010813	443	950	511	1006	10001
100010814	26	1015	94	1071	10001
100010815	103	1014	172	1071	10001
100010816	190	1015	261	1071	10001
100010817	278	1015	350	1071	10001
100010818	351	1016	424	1071	10001
100010819	439	1018	512	1071	10001
100010820	523	1019	592	1071	10001
100010821	31	1087	96	1138	10001
100010822	101	1124	156	1138	10001
100010823	171	1127	220	1138	10001
100010824	226	1130	267	1138	10001
100010825	273	1131	306	1138	10001
100010826	320	1136	343	1139	10001
100010827	358	1138	371	1139	10001
					
#EFFECT BUBBLE 1					
100010901	43	1571	59	1587	10001
100010902	62	1571	78	1587	10001
100010903	81	1571	97	1587	10001
100010904	100	1571	117	1587	10001
100010905	120	1571	137	1587	10001
100010906	140	1571	157	1587	10001
100010907	160	1571	177	1587	10001
100010908	180	1571	197	1587	10001
					
#EFFECT BUBBLE 2					
100011001	200	1571	216	1587	10001
100011002	219	1571	235	1587	10001
100011003	238	1571	257	1587	10001
100011004	260	1571	279	1587	10001
100011005	282	1571	306	1592	10001
100011006	312	1570	342	1593	10001
100011007	353	1571	385	1596	10001
100011008	393	1571	428	1596	10001
100011009	441	1571	477	1598	10001
100011010	483	1570	520	1599	10001
100011011	528	1570	567	1599	10001
100011012	577	1570	616	1602	10001
100011013	630	1574	669	1599	10001
					
#EFFECT HIT 					
100011101	46	1624	57	1635	10001
100011102	65	1621	85	1636	10001
100011103	94	1616	119	1639	10001
100011104	129	1617	154	1642	10001
100011105	162	1615	186	1642	10001
100011106	198	1614	222	1643	10001
100011107	228	1614	251	1642	10001
100011108	260	1611	283	1641	10001
100011109	292	1611	313	1639	10001
					
#EFFECT DEATH					
100011201	47	1666	105	1710	10001
100011202	116	1659	181	1709	10001
100011203	196	1655	267	1712	10001
100011204	280	1650	358	1712	10001
100011205	377	1647	457	1710	10001

[ANIMATIONS]
#Ani_ID	Sprite_ID 1	Time	Sprite_ID 2	Time	…																																																	
#IDLE																																																						
1000101	100010101	100	100010102	100	100010103	100	100010104	100	100010105	100	100010106	100	100010107	100
#WALKING																																																						
1000102	100010201	100	100010202	100	100010203	100	100010204	100	100010205	100	100010206	100	100010207	100
#JUMP																																																						
1000103	100010301	100	100010302	100
#TURNING																																																						
1000104	100010401	100	100010402	100
#ATTACK NEAR																																																						
1000105	100010501	100	100010502	100	100010503	100	100010504	100	100010505	100	100010506	100	100010507	100	100010508	100	100010509	100	100010510	100	100010511	100	100010512	100	100010513	100
#ATTACK FAR																																																						
1000106	100010601	100	100010602	100	100010603	100	100010604	100	100010605	100	100010606	100	100010607	100	100010608	100	100010609	100	100010610	100	100010611	100	100010612	100	100010613	100
#EATING																																																						
1000107	100010701	100	100010702	100	100010703	100	100010704	100	100010705	100	100010706	100	100010707	100	100010708	100	100010709	100	100010710	100	100010711	100	100010712	100	100010713	100	100010714	100	100010715	100	100010716	100	100010717	100	100010718	100	100010719	100	100010720	100	100010721	100	100010722	100	100010723	100	100010724	100	100010725	100	100010726	100	100010727	100
#DEATH1																																																						
